lacode,cumulativecases,incidencerate,Environment_Score,Income_Score,Education_Score,Health_Score,Employment_Score,Crime_Score,Housing_and_Access_Score,imd_Score
E06000001,36306,38690.9,6.943,0.228,30.255,0.869,0.185,0.566,14.242,35.037
E06000002,57281,40542.9,12.929,0.251,38.85,1.194,0.191,0.701,14.183,40.46
E06000003,52022,37909.2,7.793,0.186,27.768,0.79,0.165,0.138,14.139,29.792
E06000004,77665,39340.2,6.007,0.164,24.786,0.684,0.135,-0.111,15.87,25.79
E06000005,41778,38898.7,8.8,0.153,27.402,0.532,0.128,0.558,11.942,25.657
E06000006,54213,41779.8,19.914,0.185,29.565,0.93,0.158,0.272,16.214,32.325
E06000007,84962,40574.6,17.006,0.109,18.671,0.278,0.097,-0.137,17.152,18.942
E06000008,60332,40213.3,32.083,0.212,34.512,1.049,0.162,0.409,12.312,36.013
E06000009,55123,39834.2,39.531,0.247,38.502,1.643,0.209,0.815,11.804,45.039
E06000010,97348,37567.8,34.324,0.227,41.672,0.853,0.166,0.841,21.108,40.564
E06000011,118442,34511,17.541,0.096,17.434,-0.39,0.085,-0.542,19.842,15.605
E06000012,57712,36214,26.35,0.19,35.861,0.38,0.145,0.484,13.386,31.335
E06000013,59211,34275.9,15.331,0.133,28.419,0.233,0.109,0.111,14.96,22.096
E06000014,73043,34615.6,18.292,0.072,15.698,-0.316,0.058,-0.816,15.871,11.727
E06000015,95292,37105.5,21.078,0.158,33.417,0.526,0.115,-0.105,19.864,26.323
E06000016,129337,36532.2,25.981,0.196,37.277,0.594,0.119,0.484,16.433,30.877
E06000017,13207,32629.2,15.669,0.056,7.826,-1.048,0.049,-1.205,23.583,8.381
E06000018,119015,35305.8,29.791,0.199,37.51,0.861,0.136,0.438,23.586,34.891
E06000019,59810,30891.2,34.71,0.098,20.465,-0.312,0.08,-0.612,26.817,18.89
E06000020,69603,38386.4,9.424,0.156,27.926,0.446,0.12,0.19,19.797,24.988
E06000021,97190,37872.8,23.446,0.19,38.935,1.037,0.152,0.504,15.555,34.504
E06000022,67409,34329.8,13.986,0.079,14.043,-0.668,0.063,-0.279,16.763,11.745
E06000023,184195,39538.2,22.596,0.141,27.137,0.322,0.102,0.756,23.624,26.363
E06000024,78885,36593,9.682,0.101,16.945,-0.263,0.09,-0.164,18.52,15.825
E06000025,108684,37761.6,9.496,0.074,18.385,-0.813,0.062,-0.222,19.871,11.66
E06000026,101002,38427.3,25.786,0.148,25.623,0.666,0.128,-0.051,18.139,26.619
E06000027,48806,35829.3,21.199,0.174,25.498,0.504,0.15,0.028,20.512,28.104
E06000030,81633,36626.3,14.221,0.109,24.621,0.007,0.082,0.209,19.022,18.622
E06000031,81173,40060.5,17.397,0.156,34.571,0.413,0.112,0.523,26.749,27.821
E06000032,81279,38064.8,22.093,0.155,27.432,0.294,0.1,0.392,30.233,25.908
E06000033,67090,36706.7,17.07,0.144,25.052,0.062,0.111,0.203,17.644,22.375
E06000034,67091,38221.7,16.481,0.13,30.002,-0.234,0.088,0.284,24.22,20.928
E06000035,102901,36863.3,25.313,0.134,28.026,0.075,0.105,0.555,19.252,23.936
E06000036,47627,38357.8,4.595,0.068,17.048,-0.907,0.053,-0.856,25.882,10.241
E06000037,55779,35199.6,15.225,0.064,13.476,-0.888,0.053,-0.665,21.001,9.952
E06000038,63742,39755,22.108,0.114,20.993,-0.034,0.074,0.092,27.441,19.619
E06000039,55618,37183.5,22.387,0.126,19.963,0.147,0.08,0.412,36.28,22.965
E06000040,56755,37518.3,14.079,0.058,9.133,-1.033,0.046,-0.478,18.834,8.376
E06000041,66433,38192,6.522,0.044,6.223,-1.545,0.038,-0.981,22.581,5.846
